geo_id,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,civilian_labor_force,employed_pop,unemployed_pop,not_in_labor_force,pop_16_over,pop_in_labor_force,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,do_date
28,361217,743154,1982,62014,80298,27397,20337,29029,29166,35226,37536,28221,10944,2992333,1448495,1543838,37,1705044,1126326,30540,85758,11359,1686,30883,2906575,3834,1104371,40593,21291,1300932,196561,35653,17641,535,31.4,744203,1213,368624,217460,108456,66772,36165,2467,3052,109004,16551,13440,186980,196113,173127,69553,158280,71078,28395220,126539,76535,81279,76302,65864,62610,54741,55265,48167,80726,102716,119535,69573,33958,27290,23271,724,64200,112700,183800,485198,1104371,360168,903335,15502,30274,37281,63776,33226,12264,14596,189135,5037,39652,43442,93965,113808,97311,64221,49009,21040,24457,62147,96950,88000,94022,93008,85206,95930,97970,35718,45747,33372,36954,50177,34917,20199,14367,94884,100464,103754,59600,48624,23118,25100,58494,94465,94506,96689,101768,93762,100699,104263,38383,54290,31882,48631,61021,43881,32109,33451,1758586,1128475,11723,30540,130668,29116,36326,49543,30761,212689,10822,1324308,1206679,117629,1010583,2345713,1335130,1438,1357,60784,58849,4768,3074,112651,114859,253036,320054,728007,277794,3791,1129444,109591,0,1019853,288252,108953,34649,115098,82795,292136,56776,14494,164689,54725,64183,143673,81278,70185,31998,1420,77033,0.4759,153563,93979,605790,204804,170987,162039,165723,796722,171678,322809,26728,39240,22969,23227,44867,125789,77751,360571,976,371328,28910,76992,48118,371328,129903,208887,284709,211852,368705,408395,173246,1511376,2896579,2959289,2882929,637128,284709,617139,17702,25115,1193907,179135,253036,478161,109253,111893,328751,1952337,65442,80304,167915,1168792,85758,,,,,2015
38,125265,188210,1978,9219,19680,9055,7042,7675,11016,16947,15417,13213,10869,756928,388152,368776,34.9,650304,15387,9696,26059,36789,434,17814,730869,1497,313475,60557,34063,362889,49414,9916,3161,702,24.7,193342,758,101178,59471,44397,27698,14980,1297,422,15074,5040,4669,83273,78030,42271,12268,18795,8843,6427925,17358,15618,12933,14698,13075,16325,15446,14984,13002,21822,31842,42072,30483,19456,18496,15865,775,103600,180900,276900,150297,313475,120133,209685,18226,9390,14214,14157,18422,37010,14184,27461,5919,23211,17057,25737,25734,21733,13890,12449,8080,7178,21736,33827,29465,23898,22717,20420,24884,24661,10196,13355,8298,8958,10719,8140,6322,5755,26435,24127,21502,12156,11178,4915,5203,22858,25923,24885,20601,19324,18810,24455,25063,8600,13576,6007,8885,13723,8890,8817,12843,667900,15681,37745,10104,85383,3112,4641,9363,7023,39051,6580,415475,404589,10886,180959,603014,422055,462,142,749,484,765,728,39854,44920,105625,122110,171314,30153,1383,365990,34772,101,331218,83367,49749,38380,33377,32190,96621,20660,4835,27497,19069,17628,47045,27754,23354,16179,464,33045,0.4664,37778,26601,135670,23237,37215,32881,34741,181102,49636,36968,12516,16547,8559,1411,4811,28370,21302,93516,201,142700,7152,15482,16067,142700,54635,50459,88549,68246,92024,120045,52879,384660,731354,745291,722835,80170,88549,175976,15532,18103,404165,64255,105625,117123,30922,24169,80799,492017,7753,16386,118443,386062,,,,,,2015
56,83467,145470,1979,8580,11661,4599,3569,6492,6309,10017,9689,7669,4777,586107,295102,291005,36.5,492659,4704,4885,57845,12140,96,13541,528262,6353,228937,60214,31383,269469,40532,8233,2217,697,25.2,155575,1391,90726,45877,30947,18092,12108,344,403,14930,5398,4887,66044,45672,24433,6051,15018,9059,5262010,10739,10223,10838,11033,9492,12208,11043,10479,9241,18701,24225,33062,23271,15786,10752,7844,815,142100,212500,294700,117245,228937,73362,174445,12709,3964,12217,11388,8159,6031,2758,37221,1981,9939,13225,20116,18699,21436,10556,8651,5964,4579,11161,20930,20643,20585,17010,15905,18512,21149,9380,10571,5826,9513,9862,6393,4300,3361,18034,20811,18954,10894,9893,4665,2999,9948,19957,20910,18662,15883,15711,19845,22335,7124,11088,5651,7883,10838,6820,5782,6318,536320,4727,12968,4885,59887,3437,3367,8507,9594,41622,2172,310369,295328,15041,148189,460730,312541,,,,,2266,2286,31228,37235,67108,79168,139500,21921,6353,252511,28959,0,223552,67203,34128,38111,33510,21473,65559,11271,4279,12181,13768,18762,35044,18985,16963,5422,218,24889,0.4374,34926,14143,111830,12148,30849,32227,28443,148772,31950,30425,7001,10586,7074,1652,4216,25306,19682,75517,125,92923,3539,7359,13499,92923,46782,38937,65246,51440,63662,86024,47003,306200,572319,579102,564756,63425,65246,144458,13285,12136,289163,42212,67108,94610,31095,25746,71151,388747,6804,18101,85845,277027,,,,,,2015
23,202300,342926,1974,14221,34274,13075,8981,14492,21543,17584,17716,11446,4793,1329328,651030,678298,44.6,1244002,13854,13086,20152,8490,423,28752,1309176,4045,545226,51494,28437,729392,184166,9011,8670,700,29.7,387101,1378,240701,74262,49245,31826,14142,2133,1144,25017,7932,7271,92802,97015,79957,38489,66097,46037,14365340,36243,33109,34341,28658,29093,28909,26646,24677,22323,45026,61890,71281,41977,21930,22102,17021,792,111700,180300,273600,264442,545226,158125,511699,16200,36038,42060,25119,12363,12866,11976,60793,1729,11495,35205,32056,35922,39426,24727,17329,8593,8549,23579,37405,36935,35385,39896,44696,51722,52612,20169,28764,17499,24659,28221,20152,12061,10673,31796,33427,35494,23011,15976,9588,8040,20575,38787,38837,35163,42228,46128,53603,57663,20380,30299,19768,25124,31370,22761,16929,21351,1258074,14795,8966,13291,75261,17006,21003,24115,13772,113463,1792,685216,648414,36802,416826,1103834,687008,419,512,1258,731,1112,743,91334,97235,187513,213404,255859,60580,3716,562142,55341,27,506801,150734,35660,17435,56483,46879,181454,40583,12550,60634,29605,25347,84900,54109,24790,13645,1843,27443,0.4523,102040,35797,314332,91069,56031,57989,65125,289749,69083,79599,18256,31717,18324,4538,14377,72376,38375,197963,1158,236807,15879,43659,19138,236807,68747,73488,154108,115264,187020,214597,72507,710672,1292996,1317444,1292967,172620,154108,277756,24332,36488,636271,93335,187513,265076,58358,71715,126063,961240,38009,37887,103490,599783,,,,,,2015
54,262589,471947,1974,37706,40454,11971,9738,16566,18614,21800,19041,17408,10087,1844128,908559,935569,42.2,1702065,69610,14078,26663,2076,1489,27668,1817465,7677,734536,42019,23539,885539,151003,15204,10598,512,28.9,531151,908,246761,116078,68249,37872,25788,2254,2335,47829,12341,10769,104709,107228,99792,43130,78525,52000,17810695,71062,48568,52535,49020,45223,41682,42220,38063,34500,56115,70820,79691,45609,24287,18784,16357,675,63300,112100,182000,351328,734536,203385,623756,21591,16763,27579,26129,16840,9578,13240,129218,1583,17298,71894,50634,53275,53829,33971,25657,13602,12271,34407,55353,53204,56038,60212,59857,63283,65605,27801,38432,22270,33547,38712,25502,17164,13933,51320,49947,53244,33227,21970,12612,11217,32598,56245,53072,56691,57503,58271,65179,66694,28070,42476,26706,35474,40836,31184,24145,26888,1722847,71194,2140,14137,85113,18997,18884,39375,23795,183827,818,796708,738438,58270,710698,1508224,797526,842,626,5066,5136,733,1713,115274,123384,152256,201950,379447,99035,6256,659957,62754,93,597203,170917,38792,30840,69272,46635,211493,29253,10825,54976,30674,49681,90100,59098,39036,16555,1476,41072,0.4581,102158,48188,529290,126754,82072,86812,84261,399802,86281,182115,12309,27639,16920,9902,27507,118345,42356,254978,736,247096,22292,67257,14092,247096,82029,90800,172459,146054,261146,270175,94886,963986,1793096,1823753,1784298,321583,172459,334528,19763,23448,721699,90019,152256,441013,76061,74951,168448,1300347,37881,63170,111816,698251,26663,,,,,2015
72,377313,844538,1978,169577,70975,18350,14232,20909,22562,22782,22589,14561,8494,3474182,1657467,1816715,40,26431,3291,2832,3437388,19,2656,1565,36794,19081,1221851,18626,11677,1573532,351681,39489,33121,345,34,836820,2376,331261,206906,72841,44265,20950,3084,4542,134065,25713,22989,118066,145177,136944,44928,161658,86100,28567115,367274,149694,123708,100471,69894,67285,55362,46686,36666,55546,55880,44469,19879,9388,10310,9339,433,80200,114100,162400,471172,1221851,385031,1063610,183729,54115,53474,67400,55102,31131,60037,4934,1084,13801,56420,90553,104542,112409,72312,50179,28453,25841,74180,108645,96789,104409,109901,105964,106070,97796,40663,57429,34649,58233,67648,48629,35075,27098,82343,98538,105197,71499,50442,28628,26097,70443,108763,106972,118394,115739,118031,125021,118977,47797,68201,43777,68938,84296,66065,44487,48070,2355164,341710,10984,7264,65563,20796,47476,94751,34591,191373,1110,1265236,1026611,238625,1567257,2833603,1266346,,,24067,23243,209064,194041,1856,1250,,498686,737393,336607,7462,907339,85555,4097,821784,,,14314,97181,51357,242293,56185,19382,93580,55219,91062,137381,105208,34860,28589,1282,33968,0.5589,,39460,,487367,167315,173265,189446,892872,233925,,31484,59459,27542,63213,44973,124157,57094,407922,1025,333231,38567,214107,,333231,93290,103380,278836,217874,527857,345212,100707,1755561,3443611,,3378912,1586285,278836,,30421,21900,999029,228508,424255,582643,40247,115599,274184,2382526,68272,129342,86642,977129,3437388,,,,,2015
50,102486,152379,1973,6163,17104,6227,3727,7498,8336,10000,7822,5376,2400,626042,308552,317490,43.1,584851,7694,8627,10422,2277,950,10939,615620,4073,254865,56990,31216,326874,72009,3222,3728,819,30.2,180212,1586,113269,34122,25511,17177,6963,1057,314,8611,2366,2253,46951,47529,43315,18803,33448,20369,6917080,12426,13462,13876,14177,11282,12076,10634,11377,11443,22296,26926,36269,23963,11881,11978,10799,923,152600,223700,322800,123509,254865,74653,217678,12565,21190,19712,15264,5089,7517,5461,22344,654,4639,9758,15328,16394,18433,11589,11665,5119,5801,12258,17728,18026,17336,17014,20577,23351,24331,9941,13369,8616,10955,12064,7291,6337,5029,14844,15841,16078,11653,9532,6223,5379,11251,16830,18149,19481,16020,21178,25282,25140,11194,13623,8379,11687,13014,9635,7487,9590,593056,7996,2698,8627,37695,9973,9594,11997,5227,49155,256,340689,327841,12848,180671,521616,340945,714,355,417,296,740,483,41513,45776,97824,121839,120160,22940,3748,272730,26263,137,246467,68367,14932,7978,31142,23105,92695,15579,7587,35990,14035,15776,37554,28190,11140,7070,958,13917,0.4452,64248,25439,127127,32867,25183,28283,31446,150285,42336,36469,7649,16925,12458,2329,5381,31897,14930,91569,252,134584,8186,18558,12783,134584,30920,36206,69982,56149,87230,101470,33690,328570,600659,619952,607626,61314,69982,112986,18611,19568,320350,37916,97824,111001,22244,45406,52826,438654,19567,17224,53576,300782,,,,,,2015
46,122424,217013,1976,9496,19152,6136,6283,8632,10442,15991,16120,10537,5196,858469,431540,426929,36.9,710681,12807,11901,30079,68201,1723,22365,828390,3455,339437,53017,27624,380307,40870,5970,2506,573,25.7,231452,1019,127098,68606,45066,32843,11220,724,279,23540,7065,6356,81327,80156,50756,17324,25385,12388,6853655,20575,18765,15687,18787,17616,18290,16851,16713,16872,28317,38576,48145,27406,13187,11434,12216,675,86800,152800,234200,170511,339437,107985,259588,14896,6505,10505,14700,16009,14804,8499,34669,2673,14163,17784,30412,32092,27736,18070,13818,6788,5333,18449,28516,28717,26201,24797,23580,29145,30211,10954,15431,10365,12294,13645,9774,7500,7712,29185,28044,28166,15975,12258,6678,5508,16849,27096,27594,24969,22381,23827,28057,29969,11588,15562,8607,10937,16854,12335,11246,13244,725937,13172,71102,11911,83393,3604,5623,7437,5110,52980,2363,454996,436852,18144,213942,671301,457359,288,167,413,354,1519,778,45596,52434,110562,123745,209680,46222,3308,383195,36117,86,347078,83936,59369,29093,41711,32182,106014,30383,6577,45422,19241,19103,45981,28537,19976,12632,214,36931,0.4436,44323,34019,175958,38248,47763,41538,43072,212152,44293,50042,11384,18686,7112,2747,5947,40112,23333,109321,116,147694,7411,17992,17419,147694,48389,61981,100603,78185,92538,126134,65842,428595,829644,848285,825171,114071,100603,182223,13448,24970,430868,62294,110562,150248,37447,30370,82482,563108,9227,12547,116788,405898,,,,,,2015
30,161703,253101,1977,14957,27005,10223,8395,10381,14137,17067,16616,11868,7665,1032949,519026,513923,39.9,894545,4289,8643,37302,62709,141,24286,995647,3774,414804,49509,27735,494222,79418,7990,4697,671,28,276490,2349,156863,70734,50517,28177,19149,1332,1859,20217,5187,4359,99900,93214,56640,15987,32195,13522,8177405,29708,23097,22977,27177,21648,24526,24141,19954,15585,36406,45370,48871,31151,16492,13262,14439,763,129000,209500,305600,202848,414804,138314,339405,16541,16615,18737,13873,12033,9349,8710,57930,2939,14926,24106,30602,32316,32485,20039,16088,8419,6664,22283,31590,34025,31031,29722,29927,34947,35651,15988,22062,14673,17793,20202,14701,10067,7751,29818,32529,30761,17677,12952,5712,6594,21681,31310,31732,31808,26072,28493,35580,38572,16058,22830,13067,15987,23668,15670,12192,13160,918701,4725,65106,9071,81488,5086,5780,10516,7155,80257,3524,513209,489875,23334,313178,829911,516733,334,200,,,1900,847,56822,68911,144135,164317,226227,41986,3368,410997,50328,0,360669,110020,50940,34242,50739,45581,118442,26248,9067,20210,24946,31225,55990,39136,22500,11549,717,40619,0.4623,72039,28867,222399,40223,50027,50324,48932,233966,49776,45573,11874,24539,13323,2397,6797,48086,31559,138575,310,186486,10338,22431,9983,186486,67153,40248,104236,91752,115407,159458,76889,527398,1007727,1019646,994653,147287,104236,222183,27183,29109,484043,60796,144135,191118,44316,50044,117071,706329,10866,17671,114939,454934,,,,,,2015
16,197074,400347,1986,17842,38404,15501,10952,14057,16341,23270,24670,16609,7817,1654930,826819,828111,35.8,1367034,8828,20415,199840,18837,468,37833,1455090,5905,597421,48275,24273,692482,95061,9845,8722,658,28.5,411958,1703,269192,132206,99049,50073,44335,2840,1801,33157,8746,7951,125184,116274,97244,38925,63534,36175,14139490,43535,33146,34795,35743,32301,39695,30669,29798,28414,50601,62587,71618,45802,24015,18858,15844,770,122700,176300,271200,320853,597421,185463,505010,21580,15858,32213,19417,13854,11404,10467,62021,4177,25153,26937,55420,66760,61759,37320,22317,10371,9145,37918,54635,55141,55273,47774,48573,50586,49310,21376,28944,18338,24923,27610,20663,13159,9504,56427,58146,61726,34623,23348,11819,11283,30566,53509,53525,52206,49252,47663,52142,53457,20391,28961,16327,25393,32986,22712,14628,17021,1514404,8828,23516,21145,111229,12118,17124,20585,10843,118267,5297,786377,744228,42149,479177,1270851,791674,540,641,,,8567,5271,84332,90041,189566,217394,432181,78145,5720,645370,79038,10,566332,191020,101580,38849,70734,49187,173935,37180,13295,70601,35360,35454,88605,73959,36443,20626,879,57279,0.4525,87346,30374,292667,73132,98725,97799,94355,439310,91135,106534,19570,33631,18133,7634,11561,56286,51974,198789,1586,250456,11328,21254,58455,250456,84577,95927,171150,142118,174484,234885,109519,822718,1622116,1635366,1588032,245551,171150,389869,23518,45237,734911,102284,189566,233224,90923,60161,196662,1065982,29242,31428,151668,689674,199840,,,,,2015
